#version 0.0.1
#problem	instance	algorithm	config	filename	runs	steps
sat	uf20-01.cnf	sat_sa	{"boltzmanconst":0.05,"coolingscheme":"geometric","terminate_ls_steps":30}	../workspace/default.box/sat-sat_sa-658d6b42-fd77-4657-8fe7-f23b257219e0.tsv	5	30
sat	uf20-01.cnf	sat_sa	{"boltzmanconst":0.005,"coolingscheme":"geometric","terminate_ls_steps":30}	../workspace/default.box/sat-sat_sa-0421ad70-713d-4f6f-b446-60db23674d06.tsv	5	30
sat	uf20-01.cnf	sat_sa	{"boltzmanconst":0.001,"coolingscheme":"geometric","terminate_ls_steps":30}	../workspace/default.box/sat-sat_sa-1ee22647-056c-4d65-9a7d-82dfc50b62c8.tsv	5	30
sat	uf20-01.cnf	sat_ts	{"tabu_tenure":10,"terminate_ls_steps":30}	../workspace/default.box/sat-sat_ts-b0d6fa66-f5d9-4314-99da-828eadaf8574.tsv	5	30
sat	uf20-01.cnf	sat_ts	{"tabu_tenure":50,"terminate_ls_steps":30}	../workspace/default.box/sat-sat_ts-0e9e9224-f891-4104-9572-c3c44b57ae18.tsv	5	30
sat	uf20-01.cnf	sat_ts	{"tabu_tenure":100,"terminate_ls_steps":30}	../workspace/default.box/sat-sat_ts-cbdb9997-6daf-40d7-8927-ecfa3cf827ee.tsv	5	30
sat	uf20-01.cnf	gsat_iia	{"terminate_ls_steps":30}	../workspace/default.box/sat-gsat_iia-a35af6e7-9067-4fce-a6cc-cee6d4753812.tsv	5	30
sat	uf20-02.cnf	sat_sa	{"boltzmanconst":0.05,"coolingscheme":"geometric","terminate_ls_steps":30}	../workspace/default.box/sat-sat_sa-0ae5d22a-abbf-4e3c-9261-61a8a128ef25.tsv	5	30
sat	uf20-02.cnf	sat_sa	{"boltzmanconst":0.005,"coolingscheme":"geometric","terminate_ls_steps":30}	../workspace/default.box/sat-sat_sa-270aa7b9-8fb7-40a0-84c4-6164e6aa4af8.tsv	5	30
sat	uf20-02.cnf	sat_sa	{"boltzmanconst":0.001,"coolingscheme":"geometric","terminate_ls_steps":30}	../workspace/default.box/sat-sat_sa-08b5d467-ba2c-460e-b78e-ca877c6b01ae.tsv	5	30
sat	uf20-02.cnf	sat_ts	{"tabu_tenure":10,"terminate_ls_steps":30}	../workspace/default.box/sat-sat_ts-140aab6e-96cb-49cc-9809-9560d8a18814.tsv	5	30
sat	uf20-02.cnf	sat_ts	{"tabu_tenure":50,"terminate_ls_steps":30}	../workspace/default.box/sat-sat_ts-0d3efad4-d79a-404b-a785-f3e7d265acbb.tsv	5	30
sat	uf20-02.cnf	sat_ts	{"tabu_tenure":100,"terminate_ls_steps":30}	../workspace/default.box/sat-sat_ts-efa9b810-448b-470c-9131-54209b36eb7d.tsv	5	30
sat	uf20-02.cnf	gsat_iia	{"terminate_ls_steps":30}	../workspace/default.box/sat-gsat_iia-b766cef7-7fcd-4f2d-a3fd-415aabe61f59.tsv	5	30
tsp	bayg29.xml	tsp_sa	{"boltzmanconst":0.05,"coolingscheme":"geometric","terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_sa-c2d2f9d8-e27c-4416-bb8b-bb109d87cae4.tsv	5	50
tsp	bayg29.xml	tsp_sa	{"boltzmanconst":0.005,"coolingscheme":"geometric","terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_sa-9612b64b-f757-4a73-9c38-5a8bbc97455b.tsv	5	50
tsp	bayg29.xml	tsp_sa	{"boltzmanconst":0.001,"coolingscheme":"geometric","terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_sa-2aa2bf48-0166-42ad-b0f2-311e98d16c9a.tsv	5	50
tsp	bayg29.xml	tsp_ts	{"tabu_tenure":10,"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_ts-74966ca9-a5d2-40fb-b196-1bd28c10168c.tsv	5	50
tsp	bayg29.xml	tsp_ts	{"tabu_tenure":50,"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_ts-3a55958c-6153-4cc9-9a88-887cad74ab72.tsv	5	50
tsp	bayg29.xml	tsp_ts	{"tabu_tenure":100,"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_ts-2ae7f39e-37a4-4b93-b3fe-32d33ef6377c.tsv	5	50
tsp	bayg29.xml	tsp_iia	{"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_iia-897f1c7b-e28c-4e2a-9257-d38ae8ebcafc.tsv	5	50
tsp	br17.xml	tsp_sa	{"boltzmanconst":0.05,"coolingscheme":"geometric","terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_sa-88cba584-79db-4384-ad7d-fefc88e56653.tsv	5	50
tsp	br17.xml	tsp_sa	{"boltzmanconst":0.005,"coolingscheme":"geometric","terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_sa-86f47ce4-402e-4669-a299-bb67baecb8b1.tsv	5	50
tsp	br17.xml	tsp_sa	{"boltzmanconst":0.001,"coolingscheme":"geometric","terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_sa-f49e5f87-5a9a-4188-9d3e-45bb84b66d09.tsv	5	50
tsp	br17.xml	tsp_ts	{"tabu_tenure":10,"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_ts-4977a682-56c7-4030-a711-3a9aa8152131.tsv	5	50
tsp	br17.xml	tsp_ts	{"tabu_tenure":50,"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_ts-3a3d400a-59d7-4a77-9d7a-eb4304f51c6f.tsv	5	50
tsp	br17.xml	tsp_ts	{"tabu_tenure":100,"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_ts-cceacb9a-47b7-4734-a9f6-ba76808350a0.tsv	5	50
tsp	br17.xml	tsp_iia	{"terminate_ls_steps":50}	../workspace/default.box/tsp-tsp_iia-fbea74de-f415-4277-9047-42d7b9daf186.tsv	5	50
